HospitalID,name,mon_start,tue_start,wed_start,thu_start,fri_start,sat_start,sun_start,hol_start,mon_end,tue_end,wed_end,thu_end,fri_end,sat_end,sun_end,hol_end,businessHours
697,메디펫 동물병원,600,600,600,600,600,600,600,0,1140,1140,1140,1140,1140,1080,1080,0,평일 10:00~19:00 / 주말 10:00~18:00
698,키다리 동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1080,0,0,평일 10:00~20:00 / 토요일 10:00~18:00
699,닥터박동물병원,0,0,0,0,0,0,0,0,1440,1440,1440,1440,1440,1440,1440,1440,매일 00:00~24:00 (23:00~09:00까지 입원환자 관리시간으로 진료는 하지 않습니다)
700,행복한동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1140,0,0,평일 10:00~20:00 / 토요일 10:00~19:00
701,리센츠스타동물병원,600,600,600,600,600,600,0,0,1140,1140,1140,1140,1140,1020,0,0,평일 10:00~19:00 / 토요일 10:00~17:00
702,늘푸른동물병원,540,540,540,540,540,540,0,0,1080,1080,1080,1080,1080,960,0,0,평일 09:00~19:00(접수마감 18:00)/토 09:00~17:00(접수마감 16:00)
703,그랜드동물병원,600,600,600,600,600,600,600,600,1260,1260,1260,1260,1260,1260,1260,1260,매일 10:00~21:00
704,중랑차 동물병원,600,600,600,600,600,600,0,0,1080,1080,1080,1080,1080,960,0,0,평일 10:00~18:00/토 10:00~16:00
705,성지동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,960,0,0,평일 10:00~20:00/토 10:00~16:00
706,고래힐동물병원,600,600,600,600,600,600,600,0,1320,1320,1320,1320,1320,1320,1200,0,"평일,토 10:00~22:00/일 10:00~20:00"
707,돌봄동물병원,600,600,600,600,600,600,0,600,1200,1200,1200,1200,1200,1080,0,1080,"평일 10:00~20:00/토,공휴일 10:00~18:00"
708,한강동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
709,허브동물병원,600,600,600,600,600,600,600,600,1320,1320,1320,1320,1320,1320,1320,1320,매일 10:00~22:00
710,이리온동물병원,600,600,600,600,600,600,600,600,1290,1290,1290,1290,1290,1290,1290,1290,"매일 10:00~21:30 / 24시간 응급,야간 진료"
711,서초이음동물병원,600,600,600,600,600,600,600,0,1200,1200,1200,1200,1200,1200,1080,0,월~토 10:00~20:00 / 일요일 10:00~18:00
712,한사랑동물병원,660,660,0,660,660,660,0,0,1200,1200,0,1200,1200,1140,0,0,평일 11:00~20:00(수요일 휴무)/토 11:00~19:00
713,독립문동물병원,540,540,540,540,540,540,0,0,1080,1080,1080,1080,1080,720,0,0,평일 09:00~18:00/토 09:00~12:00
714,대방동물병원,630,630,630,630,630,630,0,0,1080,1080,1080,1080,1080,1020,0,0,평일 10:30~18:00/토 10:30~17:00
715,차오름동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1080,0,0,평일 10:00~20:00/토 10:00~18:00
716,아람동물병원,570,570,570,570,570,570,0,0,1170,1170,1170,1170,1170,1080,0,0,평일 09:30~19:30/토 09:30~18:00
717,참 동물병원,540,540,540,540,540,540,540,540,1230,1230,1230,1230,1230,1230,1230,1230,매일 09:00~20:30
718,플러스동물메디컬센터,600,600,600,0,600,600,600,0,1200,1200,1200,0,1200,1200,1200,0,"월,화,수,금,주말 10:00~20:00"
719,이비치 동물치과병원,540,540,540,540,540,540,0,0,1080,1080,1080,1080,1080,1080,0,0,월~토 09:00~18:00
720,헬로우동물병원,600,600,600,600,600,600,600,600,1140,1140,1140,1140,1140,1020,780,1020,"평일 10:00~20:00(접수마감 19:00) / 토,공휴일 10:00~18:00 (접수마감 17:00) / 일요일 10:00~14:00 (접수마감 13:00)"
721,장평종합동물병원,540,540,540,540,540,540,600,600,1260,1260,1260,1260,1260,1260,1200,1200,"평일,토요일 09:00~21:00 / 일,공휴일 10:00~20:00"
722,대학동물병원,540,540,540,540,540,540,0,0,1140,1140,1140,1140,1140,960,0,0,평일 09:00~19:00 / 토요일 09:00~16:00
723,우신동물병원,600,600,600,600,600,0,600,0,1260,1260,1260,1260,1260,0,1140,0,평일 10:00~21:00/일 10:00~19:00(야간진료 전화문의)
724,필동물종합병원,570,570,570,570,570,570,0,570,1200,1200,1200,1200,1200,1140,0,1140,"평일 09:30~20:00/토,공휴일 09:30~19:00"
725,21세기동물병원,540,540,540,540,540,540,0,0,1080,1080,1080,1080,1080,1080,0,0,월~토 09:00~18:00
726,청담리덴동물치과병원,570,570,570,570,570,570,0,0,1110,1110,1110,1110,1110,1050,0,0,평일 09:30~18:30/토 09:30~17:30
727,24시 명 동물메디컬센터,0,0,0,0,0,0,0,0,1440,1440,1440,1440,1440,1440,1440,1440,매일 00:00~24:00
728,N동물의료센터 노원점,600,600,600,600,600,600,600,600,1260,1260,1260,1260,1260,1260,1260,1260,매일 10:00~21:00 (일반진료) / 매일 21:00~10:00 (응급진료)
729,가좌동물병원,570,570,570,570,570,570,600,570,1290,1290,1290,1290,1290,1290,1080,1290,매일 09:30~21:30 / 일요일 10:00~18:00
730,가락동물병원,570,570,570,570,570,570,0,0,1140,1140,1140,1140,1140,1020,0,0,평일 09:30~19:00/토 09:30~17:00
731,스마트 동물병원 신사본원,0,0,0,0,0,0,0,0,1440,1440,1440,1440,1440,1440,1440,1440,매일 00:00~24:00
732,서진동물병원,540,540,540,540,540,600,0,600,1140,1140,1140,1140,1140,1080,0,1080,"평일 09:00~19:00/토,공휴일 10:00~18:00"
733,ILOVEPET 홈플러스남현점,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
734,신천동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
735,개와냥이동물병원,600,0,600,600,600,600,0,0,1140,0,1140,1140,1140,1020,0,0,평일 10:00~19:00(화요일 휴무)/토요일 10:00~17:00
736,위드 동물병원,540,540,540,540,540,540,0,0,1200,1200,1200,1200,1200,1140,0,0,평일 09:00~20:00 / 토요일 09:00~19:00
737,쥬라기동물병원,540,540,540,540,540,540,0,0,1200,1200,1200,1200,1200,1200,0,0,"평일,토 09:00~20:00"
738,송파 바로 동물병원,540,540,540,540,540,540,540,540,1260,1260,1260,1260,1260,1260,1260,1260,일반진료 매일 09:00~21:00 / 야간응급진료 매일 21:00~09:00
739,메디펫동물병원,600,600,600,600,600,600,600,600,1140,1140,1140,1140,1140,960,1140,1140,매일 10:00~19:00(18:30진료접수마감)/토 10:00~16:00(16:30 진료접수마감)
