HospitalID,name,mon_start,tue_start,wed_start,thu_start,fri_start,sat_start,sun_start,hol_start,mon_end,tue_end,wed_end,thu_end,fri_end,sat_end,sun_end,hol_end,businessHours,,,is24
100,고득영동물병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,매일 09:00~21:00,,,0
101,캣앤캣 고양이 병원,10:00,10:00,10:00,,10:00,10:00,,,20:00,20:00,20:00,,20:00,18:30,,,"월,화,수,금 10:00~20:00/토 10:00~18:30",,,0
102,우리아이동물메디컬센터,9:30,9:30,9:30,9:30,9:30,9:30,9:30,9:30,21:30,21:30,21:30,21:30,21:30,21:30,21:30,21:30,매일 09:00~22:00(진료 09:30~21:30),,,0
103,시민동물병원,,,,,,,,,,,,,,,,,,,,0
104,나리울동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,14:30,,,평일 10:00~19:00/토 10:00~14:30,,,0
105,동물병원 베를린,,9:00,9:00,9:00,9:00,9:00,,,,18:30,18:30,18:30,18:30,18:30,,,"화,수,목,금,토요일 09:00~18:30",,,0
106,광화문동물병원,9:00,9:00,9:00,9:00,9:00,9:00,,,20:30,20:30,20:30,20:30,20:30,19:00,,,평일 09:00~20:30/토 09:00~19:00,,,0
107,이로동물의료센터,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,매일 10:00~21:00 (일반진료) / 매일 21:00~10:00 (응급진료),,,0
108,뉴타운동물병원,9:30,9:30,9:30,9:30,9:30,,,,20:00,20:00,20:00,20:00,20:00,,,,평일 09:30~20:00,,,0
109,허브동물병원,10:00,10:00,10:00,10:00,10:00,10:00,11:00,10:00,20:30,20:30,20:30,20:30,20:30,20:30,17:00,20:30,매일 10:00~20:30 / 일 11:00~17:00 (예약진료),,,0
110,옥수수동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,19:00,,,월~토 10:00~19:00,,,0
111,제인동물병원,9:30,9:30,9:30,9:30,9:30,9:30,,,19:00,19:00,19:00,19:00,19:00,18:00,,,평일 09:30~19:00 / 토요일 09:30~18:00,,,0
112,25시동물의료센터,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,주간진료 매일 10:00~21:00 / 야간진료 21:00~10:00,,,1
113,사랑동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,20:00,20:00,20:00,20:00,20:00,17:00,,,평일 10:00~20:00 / 토 10:00~17:00,,,0
114,강북24시N동물의료센터,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00,,,1
115,세계로동물병원의료센터,9:30,9:30,9:30,9:30,9:30,9:30,9:30,9:30,19:30,19:30,19:30,19:30,19:30,18:00,19:30,18:00,"매일 09:30~19:30 / 토,공휴일 09:30~18:00",,,0
116,차지우동물병원,,,10:30,10:30,10:30,10:30,,,,,17:00,17:00,17:00,16:00,,,"수,목,금요일 10:30~17:00 / 토요일 10:30~16:00",,,0
117,와이즈24시 동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:30,19:30,19:30,19:30,19:30,16:00,,,평일 10:00~19:30 / 토요일 10:00~16:00 / 일요일 휴진,,,0
118,역삼동물병원,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,"평일,주말,공휴일 10:30~24:00",,,0
119,24시잠실ON동물의료센터,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,매일 10:00~19:00 (일반진료) / 매일 20:00~10:00 (응급진료),,,1
120,온마음동물메디컬센터,9:00,9:00,9:00,9:00,9:00,9:00,10:00,9:00,21:00,21:00,21:00,21:00,21:00,21:00,20:00,21:00,"평일,토,공휴일 09:00~21:00 / 일요일 10:00~20:00",,,0
121,땅콩동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,매일 10:00~19:00,,,0
122,치료멍멍동물병원 신사본원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,19:00,일반진료 매일 10:00~19:00,,,1
123,길음동물병원,9:00,9:00,9:00,9:00,9:00,9:00,,,20:00,20:00,20:00,20:00,20:00,17:00,,,평일 09:00~20:00 / 토 09:00~17:00,,,0
124,함께하는동물병원,,,,,,,,,,,,,,,,,,,,0
125,흑석동물병원,9:30,9:30,9:30,9:30,9:30,9:30,9:30,9:30,21:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,매일 09:30~21:00,,,0
126,프란다스동물병원 가좌점,9:30,9:30,9:30,9:30,9:30,,,,20:00,20:00,20:00,20:00,20:00,,,,평일 09:30~20:00,,,0
127,성신동물병원,10:00,10:00,10:00,10:00,10:00,10:00,14:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,18:00,20:00,매일 10:00~20:00 / 일요일 14:00~18:00,,,0
128,세인트동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,18:00,18:00,"평일,토요일 10:00~20:00 / 일,공휴일 10:00~18:00",,,0
129,현대종합동물병원,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00,,,1
130,24시샤인동물메디컬센터,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00,,,1
131,애드펫동물병원,9:00,9:00,9:00,9:00,9:00,9:00,,,19:30,19:30,19:30,19:30,19:30,17:00,,,평일 09:00~19:30/토 09:00~17:00,,,0
132,송파스마일동물병원,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,21:30,21:30,21:30,21:30,21:30,21:30,21:30,21:30,매일 09:00~21:30 (24시간 입원관리),,,0
133,굿파파 24시 반려동물건강검진센터,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,매일 00:00~24:00,,,1
134,올리브동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,,20:00,20:00,20:00,20:00,20:00,20:00,18:00,,"평일,토요일 10:00~20:00 / 일요일 10:00~18:00",,,0
135,퍼스트동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,16:00,,16:00,"평일 10:00~20:00 / 토,공휴일 10:00~16:00",,,0
136,라온동물병원,10:00,10:00,10:00,10:00,10:00,11:00,,,18:30,18:30,18:30,18:30,18:30,17:00,,,평일 10:00~18:30/토 10:00~16:00,,,0
137,뉴월드동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 10:00~20:00,,,0
138,참동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,18:00,,18:00,"평일 10:00~20:00/토,공휴일 10:00~18:00",,,0
139,푸른동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,18:00,,17:00,평일 10:00~20:00/토 10:00~18:00/공휴일 10:00~17:00,,,0
140,서울종합동물병원방배,10:00,10:00,10:00,10:00,10:00,10:00,,,18:00,18:00,18:00,18:00,18:00,17:00,,,평일 10:00~18:00 / 토요일 10:00~17:00,,,0
141,서울숲동물병원,9:30,9:30,9:30,9:30,9:30,9:30,9:30,9:30,20:00,20:00,20:00,20:00,20:00,18:00,18:00,18:00,"평일 09:30~20:00 / 주말,공휴일 09:30~18:00",,,0
142,반포자이동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,19:00,19:00,19:00,19:00,19:00,18:00,,18:00,"평일 10:00~19:00 / 토,공휴일 10:00~18:00",,,0
143,이수동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,20:00,20:00,20:00,20:00,20:00,18:00,,,평일 10:00~20:00 / 토요일 10:00~18:00,,,1
144,도담도담동물병원,9:30,9:30,9:30,9:30,9:30,10:00,10:00,10:00,21:00,21:00,21:00,21:00,21:00,18:30,18:30,18:30,"평일 09:30~21:00 / 주말,공휴일 10:00~18:30",,,0
145,센트럴동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,17:00,,17:00,"평일: 10:00~20:00 / 토,공휴일 10:00~17:00",,,0
146,하트온동물병원,11:00,11:00,11:00,11:00,11:00,11:00,,11:00,20:00,20:00,20:00,20:00,20:00,17:00,,17:00,"평일 11:00~20:00 / 토,공휴일 11:00~17:00",,,0
